count_i, smass, sfr, m_age, l_age, AV 
10231 5.843 -2.975 0.102 -0.764 2.654
10232 5.762 -2.982 0.073 -0.847 1.826
10233 6.072 -3.753 0.101 -0.106 1.110
10234 5.594 -3.631 0.245 -0.343 0.652
10235 5.450 -3.951 0.302 -0.198 1.081
10236 5.556 -4.002 0.168 -0.276 0.209
10237 5.368 -3.922 0.237 -0.559 0.118
10238 5.857 -3.336 0.045 -0.373 0.207
10239 5.639 -3.596 0.138 -0.456 0.164
1024 5.298 -4.119 0.259 -0.214 0.112
10240 5.703 -3.303 0.177 -0.563 3.413
10241 5.628 -3.246 0.167 -0.673 0.191
10242 6.180 -3.564 0.407 -0.244 3.791
10243 6.383 -4.161 0.466 0.387 3.975
10244 5.577 -3.391 0.197 -0.615 0.131
10245 5.635 -3.256 0.142 -0.679 0.188
10246 6.444 -3.830 0.444 0.287 2.310
10247 5.600 -3.396 0.171 -1.103 2.753
10248 5.979 -3.984 0.080 -0.136 0.087
10249 5.398 -3.750 0.234 -0.790 0.136
1025 5.410 -4.016 0.221 -0.233 1.802
10250 5.588 -3.143 0.099 -0.859 0.034
10251 6.039 -3.915 0.409 0.173 1.072
10252 5.784 -3.911 0.002 -0.414 0.094
10253 5.296 -4.026 0.286 -0.489 3.975
10254 5.495 -3.610 0.228 -0.902 0.511
10255 5.737 -3.168 0.092 -1.085 3.874
10256 5.713 -3.084 0.130 -0.817 1.422
10257 5.761 -3.048 0.150 -0.749 0.739
10258 5.784 -3.125 0.194 -0.647 0.193
10259 6.041 -3.770 0.404 0.101 0.648
1026 5.258 -4.191 0.287 -0.164 2.489
10260 5.509 -3.876 0.145 -0.314 0.032
10261 5.208 -4.250 0.296 -0.135 0.019
10262 5.224 -4.228 0.297 -0.148 1.514
10263 5.211 -4.242 0.276 -0.150 0.519
10264 5.456 -3.851 0.278 -0.558 3.885
10265 5.340 -3.849 0.259 -0.356 0.075
10266 5.535 -3.642 0.220 -0.847 3.787
10267 6.060 -3.910 0.399 0.176 3.904
10268 5.545 -3.803 0.244 -0.552 3.878
10269 5.534 -3.893 0.257 -0.268 1.074
1027 5.197 -4.268 0.288 -0.132 4.000
10270 5.230 -4.215 0.286 -0.155 0.117
10271 5.324 -4.008 0.254 -0.259 1.019
10272 5.270 -4.110 0.288 -0.198 3.796
10273 5.259 -4.178 0.272 -0.175 0.068
10274 5.199 -4.264 0.300 -0.130 4.000
10275 5.270 -4.089 0.274 -0.210 2.224
10276 5.492 -3.999 0.137 -0.302 0.024
10277 5.577 -3.946 0.105 -0.305 0.208
10278 5.284 -4.161 0.253 -0.207 0.063
10279 5.259 -4.118 0.280 -0.214 0.056
1028 5.446 -4.033 0.190 -0.262 0.207
10280 5.246 -4.115 0.279 -0.218 0.035
10281 5.198 -4.262 0.295 -0.133 3.997
10282 5.199 -4.263 0.288 -0.134 3.999
10283 5.344 -4.054 0.284 -0.240 3.913
10284 5.199 -4.265 0.296 -0.131 4.001
10285 5.679 -3.782 0.173 -0.254 0.543
10286 5.583 -3.595 0.233 -0.498 3.610
10287 5.692 -3.792 0.334 -0.058 1.530
10288 5.198 -4.264 0.285 -0.132 4.000
10289 5.426 -3.629 0.193 -0.533 0.066
1029 5.215 -4.241 0.287 -0.150 3.987
