count_i, smass, sfr, m_age, l_age, AV 
1267 7.702 -3.080 0.072 -0.001 1.462
1268 7.405 -1.882 0.029 -0.482 1.219
1269 6.414 -2.159 -0.147 -1.456 0.217
127 6.775 -3.547 0.103 -0.034 1.868
1270 7.233 -2.697 0.442 -0.110 0.268
1271 7.232 -2.118 0.294 -0.234 1.070
1272 6.722 -1.602 -0.346 -0.826 0.913
1273 6.176 -2.787 0.129 -1.217 0.772
1274 6.454 -2.028 -0.280 -1.230 1.123
1275 6.925 -1.964 0.064 -0.367 0.274
1276 7.283 -3.128 0.459 0.305 0.505
1277 7.164 -3.722 -0.111 -0.230 0.228
1278 7.197 -1.843 0.396 -0.429 0.194
1279 7.472 -3.616 -0.121 -0.285 0.235
128 6.037 -2.514 -0.096 -1.148 0.172
1280 7.627 -3.560 -0.193 -0.295 0.275
1281 7.817 -2.123 -0.328 -0.423 0.719
1282 7.830 -3.233 -0.294 -0.407 0.111
1283 7.069 -1.833 0.071 -1.235 0.361
1284 7.175 -1.281 -0.151 -1.217 0.881
1285 7.052 -1.354 -0.623 -1.332 0.620
1286 7.825 -1.505 0.364 -0.080 0.460
1287 7.837 -2.634 0.204 -0.159 0.667
1288 7.814 -2.351 0.049 -0.433 0.535
1289 7.933 -1.979 -0.001 -0.266 0.297
129 6.203 -2.380 -0.134 -1.055 1.277
1290 8.141 -2.696 0.259 0.042 0.445
1291 8.288 -1.971 0.208 0.059 0.379
1292 8.380 -2.129 0.048 -0.069 0.420
1293 8.519 -2.896 0.065 0.024 0.284
1294 8.618 -1.453 0.004 -0.117 0.250
1295 8.783 -3.065 0.025 -0.002 0.291
1296 8.832 -0.614 -0.036 -0.166 0.423
1297 9.013 -2.493 -0.018 -0.051 1.542
1298 6.873 -1.469 -0.750 -1.810 3.726
1299 9.163 -2.613 -0.448 -0.498 0.368
13 5.506 -3.869 0.198 -0.293 0.097
130 5.717 -3.732 0.217 -0.259 0.555
1300 9.396 -3.722 -0.506 -0.512 0.086
1301 9.454 -3.199 -0.528 -0.550 0.157
1302 9.926 -2.233 0.468 0.438 2.792
1303 8.106 -0.173 -1.052 -1.553 0.471
1304 9.177 -2.498 0.041 -0.010 1.294
1305 8.224 -0.071 -1.088 -1.458 1.223
1306 8.764 -0.297 0.074 -0.233 0.877
1307 7.996 -0.323 -0.880 -1.375 1.116
1308 8.476 -0.856 0.321 -0.286 0.769
1309 7.925 -0.628 -0.025 -0.906 0.851
131 5.972 -3.799 -0.011 -0.343 0.248
1310 8.023 -1.907 -0.392 -0.743 1.090
1311 8.024 -1.931 0.021 -0.297 0.696
1312 7.753 -0.929 -0.210 -0.718 1.139
1313 7.385 -0.937 -0.569 -1.053 0.946
1314 7.766 -0.961 0.277 -0.352 1.108
1315 7.836 -1.206 0.345 -0.048 0.955
1316 7.894 -2.824 0.435 0.329 0.494
1317 7.814 -3.309 0.465 0.425 0.233
1318 7.537 -2.175 0.116 -0.104 0.178
1319 7.358 -1.529 0.088 -0.492 0.350
132 6.540 -2.752 0.328 -0.332 0.315
1320 9.509 1.204 -0.772 -1.424 1.456
1321 6.781 -1.587 -0.418 -1.252 0.776
1322 7.406 -3.563 0.412 0.325 0.481
1323 7.160 -3.774 0.034 -0.045 0.264
1324 7.404 -3.717 0.101 0.041 3.650
1325 7.189 -3.583 0.040 -0.022 1.180
1326 6.502 -2.837 -0.304 -1.031 0.562
1327 6.276 -2.304 -0.081 -1.363 0.373
1328 6.900 -1.947 -0.057 -0.851 0.538
1329 14.469 0.090 0.481 0.476 2.898
133 6.099 -2.755 0.117 -1.284 3.377
1330 7.144 -1.699 0.092 -0.751 0.094
1331 7.534 -2.873 -0.083 -0.344 0.116
1332 7.703 -2.837 -0.004 -0.355 0.295
1333 7.719 -1.787 -0.189 -0.427 0.136
1334 7.765 -2.789 0.063 -0.263 0.487
1335 7.636 -2.444 -0.049 -0.442 0.557
1336 7.666 -2.570 -0.056 -0.297 0.247
1337 7.583 -2.652 -0.405 -0.633 0.584
1338 7.683 -2.374 -0.146 -0.512 0.688
1339 7.880 -2.299 0.011 -0.129 0.354
134 6.869 -3.453 0.437 0.283 3.615
1340 8.041 -3.075 0.253 0.118 0.361
1341 8.114 -1.833 0.323 0.064 0.336
1342 8.193 -2.419 0.186 -0.048 0.233
