count_i, smass, sfr, m_age, l_age, AV 
10167 5.522 -3.861 0.270 -0.230 1.999
10168 5.199 -4.266 0.297 -0.132 4.000
10169 5.207 -4.249 0.295 -0.137 3.990
1017 5.897 -3.746 0.139 -0.164 0.353
10170 5.485 -3.783 0.241 -0.642 3.867
10171 5.316 -3.945 0.285 -0.576 3.970
10172 5.407 -3.961 0.231 -0.244 0.472
10173 5.533 -3.760 0.235 -0.376 0.470
10174 5.365 -3.992 0.251 -0.325 1.116
10175 5.206 -4.256 0.311 -0.118 3.998
10176 5.355 -3.832 0.247 -0.385 0.298
10177 5.710 -3.757 0.335 -0.081 3.835
10178 5.199 -4.261 0.287 -0.137 3.998
1018 5.827 -3.875 0.336 -0.246 3.868
10180 5.524 -3.435 0.189 -0.606 3.604
10181 5.442 -3.884 0.233 -0.413 0.922
10182 5.206 -4.255 0.299 -0.134 3.995
10183 5.312 -3.848 0.250 -0.408 0.117
10184 5.438 -3.660 0.236 -0.611 1.100
10185 5.462 -4.013 0.240 -0.225 2.653
10186 5.543 -3.680 0.231 -0.325 2.253
10187 5.200 -4.261 0.306 -0.125 3.998
10188 5.236 -4.173 0.286 -0.166 0.110
10189 5.234 -4.195 0.297 -0.151 2.960
1019 5.577 -3.672 0.221 -0.722 3.111
10190 5.553 -3.793 0.199 -0.450 3.800
10191 5.462 -3.852 0.261 -0.458 3.803
10192 5.197 -4.263 0.300 -0.124 3.998
10193 5.217 -4.225 0.286 -0.144 1.354
10194 5.495 -3.871 0.225 -0.224 2.138
10195 5.231 -4.198 0.287 -0.158 0.946
10196 5.462 -3.925 0.281 -0.196 0.398
10197 5.559 -3.594 0.249 -0.870 3.905
10198 5.410 -3.705 0.222 -0.818 3.316
10199 5.490 -3.781 0.221 -0.669 2.357
102 5.284 -4.090 0.291 -0.165 2.744
1020 5.462 -3.885 0.267 -0.244 0.760
10200 5.200 -4.262 0.283 -0.139 4.000
10201 5.781 -2.825 0.064 -0.628 3.332
10202 5.199 -4.264 0.303 -0.128 4.000
10203 5.747 -3.058 0.198 -0.442 3.851
10204 5.197 -4.264 0.291 -0.133 4.001
10205 6.050 -2.842 -0.027 -0.560 2.199
10206 5.227 -4.224 0.293 -0.145 0.039
10207 5.577 -3.457 0.190 -0.712 3.400
10208 5.527 -3.731 0.235 -0.389 0.562
10209 5.380 -4.003 0.302 -0.152 3.753
1021 5.592 -3.558 0.193 -0.883 3.810
10210 5.438 -3.666 0.237 -0.485 0.617
10211 5.617 -3.445 0.178 -0.690 3.491
10212 5.257 -4.182 0.288 -0.158 0.088
10213 5.299 -4.105 0.276 -0.167 1.221
10214 5.313 -4.142 0.275 -0.160 0.158
10215 5.198 -4.263 0.297 -0.119 4.000
10216 5.199 -4.264 0.296 -0.129 4.002
10217 5.226 -4.232 0.284 -0.145 1.425
10218 5.346 -3.828 0.256 -0.406 0.292
10219 5.491 -3.625 0.212 -0.894 3.066
1022 5.575 -3.430 0.159 -0.982 3.914
10220 5.458 -3.784 0.238 -0.651 0.964
10221 5.317 -3.912 0.252 -0.246 3.105
10222 5.723 -3.608 0.304 -0.237 2.109
10223 6.010 -3.994 0.105 -0.103 2.045
10224 6.163 -3.726 0.113 -0.102 2.904
10225 5.799 -3.820 0.146 -0.165 0.961
10226 5.765 -3.790 0.157 -0.151 3.004
10227 5.326 -3.952 0.281 -0.598 3.979
10228 5.274 -3.952 0.288 -0.689 3.985
10229 5.513 -3.519 0.208 -0.747 0.948
1023 5.550 -3.559 0.223 -0.637 2.123
10230 5.623 -3.589 0.246 -0.772 1.470
10231 12.577 0.385 -0.008 -0.041 1.792
10232 5.720 -3.392 0.273 -0.888 3.563
10233 6.247 -3.857 0.190 -0.042 2.605
10234 5.731 -3.649 0.257 -0.199 1.554
10235 5.354 -3.939 0.284 -0.512 3.957
10236 5.697 -3.829 0.360 -0.079 0.854
10237 5.505 -3.671 0.257 -0.727 3.358
10238 5.924 -3.791 0.085 -0.224 0.213
10239 5.687 -3.288 0.225 -0.629 1.909
1024 5.484 -3.573 0.216 -0.448 1.975
10240 5.381 -3.728 0.271 -0.904 3.972
10241 5.653 -3.151 0.134 -0.784 0.954
10242 6.251 -2.675 0.336 -0.183 3.842
10243 5.410 -4.234 0.367 0.015 3.994
10244 5.481 -3.655 0.225 -0.832 1.509
