#zs, m1, m2, SNR 
1.305 10.293 8.112 11.762
1.414 6.685 6.384 18.555
3.997 6.245 5.112 4.577
17.296 6.839 5.560 2.738
2.758 5.920 5.628 4.177
1.884 12.967 6.929 7.864
2.141 33.406 9.901 13.086
4.792 16.599 15.758 10.627
5.531 10.375 7.888 5.259
8.118 5.263 5.208 3.035
0.935 10.876 5.776 21.574
2.006 5.446 5.367 6.034
17.296 45.099 36.705 17.739
0.912 5.772 5.764 8.329
3.788 8.791 5.090 4.725
13.214 5.249 5.137 3.179
7.248 11.586 6.153 9.418
4.792 12.660 5.612 2.014
7.248 9.063 8.126 3.367
5.999 21.642 9.017 11.257
2.553 8.886 8.004 4.621
5.531 5.167 5.095 2.517
4.792 49.675 46.133 11.209
4.792 13.170 11.322 10.349
3.127 7.825 5.796 8.844
6.560 5.284 5.105 7.191
2.006 7.671 6.614 4.163
2.006 10.901 9.865 15.501
5.999 7.760 6.291 5.377
5.134 6.347 5.312 5.686
3.427 5.788 5.240 11.266
4.231 7.476 5.623 3.260
5.134 10.909 10.564 13.662
2.072 11.631 11.402 10.108
5.999 5.248 5.131 4.680
1.773 5.207 5.064 2.536
2.460 7.768 5.046 9.843
3.997 5.641 5.276 3.986
3.788 9.002 8.686 20.103
8.118 6.300 5.991 1.805
1.884 25.592 19.548 28.037
5.531 6.636 5.640 3.970
2.141 6.847 6.212 6.037
1.773 6.853 6.169 9.393
3.599 7.734 6.194 9.340
1.944 7.185 5.791 10.548
1.009 18.613 7.343 26.099
6.560 51.520 27.244 53.375
6.560 33.849 31.153 10.086
4.792 32.285 6.982 18.165
2.652 5.272 5.001 5.538
5.999 10.702 7.739 2.603
3.997 7.210 6.007 1.706
3.997 7.779 7.117 3.241
10.840 9.606 8.113 4.602
7.248 18.672 10.373 13.097
7.248 9.840 8.647 9.153
2.214 17.595 8.750 15.010
10.840 10.803 10.118 7.512
4.792 6.736 5.194 5.903
3.997 13.768 12.142 12.145
3.127 8.430 6.732 5.516
2.994 23.310 22.550 15.044
2.460 18.980 17.050 20.905
9.259 5.350 5.018 3.706
4.494 27.008 11.467 8.592
10.840 8.481 7.442 5.999
5.134 7.789 6.735 6.040
9.259 6.163 5.588 0.813
5.531 5.720 5.105 9.512
2.872 6.887 6.065 1.949
5.531 13.974 12.238 8.749
9.259 5.034 5.028 5.005
13.214 5.147 5.115 5.909
2.872 6.210 5.207 8.880
6.560 5.018 5.013 2.408
8.118 17.700 16.432 12.580
3.599 5.439 5.324 10.130
2.072 5.115 5.004 2.753
2.994 5.386 5.121 11.461
3.599 5.098 5.049 2.537
4.494 7.325 7.262 4.939
3.270 10.706 8.090 8.841
3.427 9.758 8.525 6.211
2.553 47.964 30.236 41.874
2.291 29.504 23.352 25.184
3.270 7.453 6.019 9.772
1.672 5.268 5.147 2.963
4.231 5.023 5.014 0.344
8.118 15.094 11.925 4.701
0.805 5.366 5.234 5.688
5.531 25.369 12.558 16.833
1.493 6.866 5.201 5.699
8.118 14.173 12.650 4.258
1.493 5.899 5.598 5.772
9.259 6.832 5.740 2.951
7.248 5.007 5.006 7.215
4.494 7.273 5.334 7.695
1.340 6.198 5.559 1.451
3.788 7.909 5.438 2.584
3.599 8.785 7.555 7.602
2.291 15.274 6.330 6.203
3.427 5.661 5.230 5.824
8.118 5.645 5.396 3.817
5.531 10.296 7.990 4.143
0.746 6.359 5.115 7.430
6.560 7.436 5.734 1.314
2.872 19.396 9.610 11.621
1.145 5.378 5.054 17.648
4.231 5.218 5.046 4.252
6.560 55.481 35.011 23.880
3.127 11.792 8.612 16.407
1.722 9.889 8.766 15.378
6.560 5.836 5.486 9.188
7.248 11.107 6.182 5.217
3.270 5.113 5.050 2.496
17.296 6.965 6.939 5.507
1.535 7.899 6.012 21.258
1.773 20.525 15.282 34.948
2.072 5.547 5.231 11.351
8.118 7.055 5.394 7.823
9.259 7.269 7.181 3.659
2.652 18.967 13.013 10.653
9.259 7.714 6.163 1.175
4.231 22.937 9.743 15.797
3.599 6.490 5.690 9.353
1.944 11.767 5.806 20.219
4.494 5.289 5.197 4.971
13.214 16.605 5.427 6.473
5.531 14.587 13.188 15.818
1.453 25.788 7.930 10.632
2.758 7.230 6.237 8.944
1.827 5.485 5.045 11.464
2.994 45.147 10.661 1.465
3.270 33.021 26.761 6.285
5.531 15.142 7.920 7.522
4.231 12.830 7.366 7.404
5.531 5.631 5.624 9.108
13.214 7.419 7.121 3.073
4.494 6.057 5.254 4.806
5.999 9.330 8.457 3.821
2.072 48.555 32.310 52.269
4.792 7.741 5.581 2.256
7.248 22.364 9.083 4.305
4.792 6.005 5.001 4.529
1.944 6.173 5.250 18.100
3.788 30.183 7.984 16.361
1.175 6.597 5.221 12.845
3.427 19.219 6.627 8.835
7.248 5.391 5.142 2.175
5.531 5.227 5.205 3.098
6.560 21.503 20.130 24.481
7.248 6.025 5.614 11.264
2.006 16.851 7.066 2.892
13.214 6.315 5.132 3.832
2.460 13.047 9.582 6.290
1.944 8.520 8.117 18.128
2.994 25.235 7.226 17.865
6.560 8.856 5.199 7.559
3.788 7.971 5.583 3.175
1.035 15.204 11.840 23.942
2.291 7.177 6.946 1.921
3.788 6.463 5.261 2.182
4.792 36.935 35.766 37.537
3.427 7.367 6.295 4.723
3.270 11.143 5.257 5.977
8.118 22.721 6.944 9.333
1.722 9.672 5.871 9.042
3.788 5.014 5.002 6.802
8.118 9.577 5.940 1.687
1.376 5.238 5.173 10.764
1.773 6.917 6.221 13.674
10.840 28.764 18.544 15.820
3.270 10.325 8.687 8.590
8.118 6.796 6.272 3.460
1.061 5.053 5.024 6.730
6.560 12.074 9.391 9.162
3.427 7.222 7.157 12.259
4.494 5.984 5.117 7.382
3.997 5.660 5.397 10.830
5.531 6.048 5.413 6.546
1.625 8.313 6.618 14.521
4.792 5.806 5.610 9.362
3.997 12.974 6.962 4.650
5.999 7.159 6.634 4.642
10.840 6.009 5.019 1.815
4.792 7.757 5.721 6.578
10.840 16.767 7.059 4.292
3.270 5.117 5.103 3.712
1.453 5.417 5.110 7.670
1.884 5.116 5.097 12.256
1.944 9.670 5.380 10.387
3.127 5.315 5.177 4.359
2.373 8.273 7.113 4.346
5.999 12.797 9.333 9.422
2.373 26.286 19.571 27.091
4.231 9.111 5.756 8.388
5.531 6.115 5.338 3.205
17.296 10.326 6.453 6.998
6.560 22.267 7.834 6.847
4.494 8.012 5.860 6.769
2.872 5.355 5.029 2.290
13.214 55.932 28.272 0.751
4.231 5.390 5.249 1.680
4.494 21.719 14.201 20.135
4.231 19.204 5.059 9.693
3.127 7.076 6.998 3.625
3.270 17.930 10.607 6.828
2.460 12.315 7.414 7.798
3.270 6.319 5.089 8.358
3.599 5.177 5.153 6.438
5.999 5.226 5.149 3.737
2.872 26.414 11.367 20.330
1.414 6.464 6.084 21.784
3.427 5.065 5.004 7.289
5.531 36.045 35.163 36.183
2.652 9.689 6.554 10.606
5.134 7.306 5.737 5.360
1.009 5.617 5.335 12.393
13.214 10.925 7.547 7.566
3.127 7.044 6.814 11.657
2.553 12.678 9.079 29.085
2.373 6.904 6.478 1.992
2.872 7.075 6.630 9.533
6.560 9.888 9.255 7.064
3.788 7.482 7.299 14.703
1.453 19.441 10.421 43.811
2.553 6.523 5.545 6.576
2.291 50.014 43.777 67.352
2.006 5.153 5.055 4.573
3.599 15.014 14.708 2.966
0.639 7.516 5.212 36.297
5.531 6.613 6.481 6.066
4.792 7.879 7.228 2.702
3.127 7.783 5.835 2.803
5.134 5.717 5.662 4.730
5.531 12.267 7.001 8.097
5.134 8.222 6.616 3.400
2.994 6.907 5.173 18.045
