# id  z  mbh  mbh_err  mgal  ps_mag  spectra  bit
000245.07-012018.2 0.6593682 7.700328048396707 0.28885001427244283 10.7863594549 20.209142405811363 BOSS eboss_core
000315.68+001933.7 0.5519385 7.479026711502827 0.13467611362022522 10.3834495909 20.39435620890696 BOSS eboss_core
000317.75+000858.7 0.461 7.551581738524397 0.20481599844442203 10.442869568 21.0225054589278 BOSS other
000322.60-002941.2 0.6507431 8.206867978777721 0.16570818610315938 10.5968378948 19.9873662504463 BOSS other
000323.38+013232.9 0.783 9.119420790736578 0.2511719438986943 10.7690343958 19.404238722381077 BOSS boss_core
000333.26-004443.3 0.6598 7.974901792259044 0.18768094273543082 10.9557790619 21.156425153021836 SDSS other
000345.70-001011.1 0.792 7.989632467726929 0.343486678460935 10.7185951489 21.816246563681432 BOSS other
000347.20+005344.7 0.5783 8.436721520927291 0.11812311869056086 11.0233624932 20.016610263486456 SDSS other
000358.31+013527.0 0.6649151 8.198261189817408 0.1826505737478832 11.2240217219 19.18979770149778 BOSS eboss_core
000405.15+004122.6 0.787 8.201650671984831 0.34313214766960876 10.5774503029 20.827061187941244 BOSS other
000413.23+014418.4 0.516 7.965079452188664 0.0946448813986757 10.7663207894 19.169375080203725 BOSS other
000421.84+005743.6 0.7929 8.893564341864014 0.23650159532443535 10.8718744086 20.829089128200685 SDSS other
000429.47-002142.8 0.6144 9.146902839225241 0.06333121446112382 11.1768608274 19.266122916653003 SDSS other
000439.97-000146.4 0.5829 8.226324611515755 0.364122613546418 10.7824403603 20.345606698226607 SDSS other
000445.71+002245.0 0.4966 8.204541927952686 0.09614029418784963 11.0028865315 19.247099588526687 SDSS ugri
000513.05-001018.6 0.4343048 7.228046074962818 0.15176599552596123 10.0695898256 21.24708225189859 BOSS other
000515.93-003730.7 0.4764 8.142265804432292 0.39248996860513047 10.5774044619 20.43841196250501 SDSS other
000520.98-005125.9 0.707 8.351254487125676 0.17742268822410398 10.8521794017 19.794447470513322 BOSS other
000521.31+002756.4 0.6208079 7.83138384297917 1.1421243837157216 10.7086998456 21.083021885917432 BOSS eboss_core
000535.23+000021.4 0.7362 8.1922034720778 0.8684638920180557 11.1395646295 20.10505903281719 SDSS other
000553.71-010117.7 0.6331 8.002226282909165 0.13867481187543954 10.8887295378 20.33100670128876 SDSS other
