# id  z  ra  dec  fix_sersic_n  sersic_n_fitted  sersic_re_fitted  sersic_n_corrected  sersic_re_corrected host_mag_g host_mag_r host_mag_i host_mag_z host_mag_y  ps_mag_g ps_mag_r ps_mag_i ps_mag_z ps_mag_y decomposition_chisq  stellar_mass  sed_chisq  logMBH  logMBH_err
000241.55+002411.3 0.993 0.67313167 0.40315623 true 6.999 2.646 2.0 0.775 27.024152863 23.8777383736 23.3474924439 23.4799940111 22.4212213863 20.8774617091 20.8551515117 20.9093587615 20.9895326926 20.8087723232 0.99 9.30321984011 1.35887667822 8.33966533933 0.168074825742
000243.58-003449.2 0.932 0.68158067 -0.58031528 true 7.0 1.667 2.0 0.714 23.7504148984 22.0402016857 21.7023141368 21.421944254 21.1879722295 21.8331325795 22.0526551736 22.2039542474 21.9082182188 21.624360328 1.09 10.4351717631 1.520216299 8.07485127103 0.253532880801
000245.07-012018.2 0.659 0.68780741 -1.3384148 false 1.527 0.598 1.567 0.61 23.2911030726 21.4149982944 20.5794604773 20.3426664945 20.1615976736 20.1310257886 20.3693188602 20.3399331012 20.4795088906 20.3587195843 1.03 10.7863594549 0.261269922317 7.7003280484 0.288850014272
000255.66+025001.8 0.855 0.7319257 2.8338427 false 4.793 0.226 5.537 0.277 24.5198318499 24.5396947928 22.3935081007 20.5888467648 21.1141861697 21.5792278123 21.170672768 21.162363721 22.5074547162 21.2716722415 1.04 11.6260650569 7.00540951804 8.09043007599 0.292734953293
000300.02+022852.0 0.982 0.75011338 2.4811177 true 0.301 0.649 0.7 0.66 21.4029660035 22.9218219135 21.7149411941 22.4915108637 22.2392798215 18.6462623391 18.3838326161 18.5684448254 18.4633904317 18.3939279726 4.42 9.13060174328 7.20457099294 8.42655472417 0.0369775663616
000308.73-004808.1 0.932 0.78639566 -0.80227575 false 0.747 0.74 0.742 0.758 23.4271945579 22.4577073004 21.4489909459 20.9060516317 20.7240799016 20.9868732184 20.8267191472 20.9053779432 20.8202898495 20.6779877499 1.01 10.9302377328 0.00543465216764 8.40981412055 0.0754275296649
000315.68+001933.7 0.552 0.81536799 0.32604277 false 0.484 0.503 0.459 0.518 22.8744012313 21.8134799574 21.1114574107 20.7808109844 20.5975090583 21.0138489083 20.9640040937 20.7644395327 20.8251689605 20.4738020766 1.08 10.3834495909 0.00580488535123 7.4790267115 0.13467611362
000316.31-002148.9 0.519 0.81799441 -0.36359754 false 1.229 1.491 1.22 1.501 21.0739948751 20.0778000844 19.4634036334 19.1461921435 18.9431548617 21.0106883056 20.9509076783 20.7288608827 20.6883023303 20.1943244671 2.2 10.8977869259 0.0047174303938 -999.0 -999.0
000317.75+000858.7 0.461 0.82396588 0.1496501 false 4.518 0.367 5.442 0.338 22.4291076385 21.2506435558 20.5007343426 20.2330455752 20.1198731155 21.7287312003 21.2218712905 21.0881817406 20.8731958827 20.1817590273 1.27 10.442869568 0.0258386928325 7.55158173852 0.204815998444
000322.60-002941.2 0.651 0.84425601 -0.49471298 false 1.527 0.542 1.527 0.539 22.8189932972 22.1954717882 21.1960712343 20.8984356147 20.583219983 20.3655388984 20.2997620509 20.1782817762 20.2567326232 20.3024437823 1.05 10.5968378948 0.194982547631 8.20686797878 0.165708186103
000323.38+013232.9 0.783 0.84744316 1.5425025 false 0.605 1.183 0.587 1.236 23.0937325393 22.6118949973 21.4352672035 21.0231919889 20.7435840009 19.6008227463 19.3364223357 19.3125394904 18.9367255031 19.2061821109 1.15 10.7690343958 0.233743783741 9.11942079074 0.251171943899
000325.20-004420.5 0.866 0.85498476 -0.73901917 false 0.741 0.886 1.093 1.383 25.2285228871 24.7267786896 24.9925528617 24.3520384559 inf 21.7210288792 21.6528622871 21.5702233482 21.3707888865 21.0745502862 0.99 8.13953553622 1.09227781405 8.0072505781 1.30452440496
000325.40+020155.7 0.78 0.85587198 2.032163 true 7.0 1.13 2.0 0.521 22.8300608512 inf 21.5171606651 21.1942811609 21.417668469 19.3048671252 19.1993163994 19.4493029785 19.23531035 19.401473626 1.06 9.87793885529 0.00697342873988 8.35048791104 0.0999955137192
000330.35-010246.6 0.912 0.87648997 -1.0462945 false 0.799 0.497 0.726 0.53 24.0112194733 24.0155889181 21.9626386354 21.5600686608 21.2914811816 20.0818820758 19.9293414049 20.0842877009 19.9864126815 19.9671688674 1.03 10.9402272194 2.97344133268 8.87226463066 0.0887087057661
000333.26-004443.3 0.66 0.88859145 -0.74537113 false 0.572 0.638 0.551 0.638 22.1041757201 21.2282528934 20.3798565917 20.0574793075 19.6922437175 21.2270801214 21.2715556709 21.0880551692 21.4153340835 21.416779796 1.16 10.9557790619 0.0787723443814 7.97490179226 0.187680942735
000344.03+011303.6 0.932 0.9334702 1.2177031 true 6.982 0.576 2.0 0.284 24.973578677 23.9244526503 21.7630537876 20.7630313031 24.3750178577 21.0255746722 20.6304033098 20.7191963917 21.004563839 20.041541857 1.0 8.28320386773 30.3758094577 7.13456057468 1.21442578577
000345.70-001011.1 0.792 0.940446 -0.16975054 false 1.2 0.387 1.237 0.329 25.5666603998 23.3648324868 22.1181520455 21.7048427187 21.5357197503 22.4366619387 22.0837891548 22.1845684842 21.450567297 21.6666238492 1.02 10.7185951489 0.479357296231 7.98963246773 0.343486678461
000346.20-012552.8 0.875 0.94252494 -1.4313395 true 6.834 0.323 2.0 0.1 inf 25.0184955471 23.894702865 23.1977436025 22.4792024337 20.6031985814 20.5049754356 20.6776375824 20.4912621695 20.7193966517 1.06 10.5420779614 0.901274203804 7.96221788087 0.178032089277
000346.60+020640.2 0.889 0.94417189 2.1111745 false 0.437 0.927 0.397 0.953 25.0524525702 23.6800709409 22.3484363892 21.7996699168 21.5377109587 21.9316157859 22.0455214135 22.0902354347 21.6247521754 21.3737792177 1.1 10.7229770621 0.0760014938751 8.31403579444 0.128214437343
000347.20+005344.7 0.578 0.94666043 0.89572583 false 2.255 1.043 2.222 1.053 22.2356182037 20.981148851 20.0809101927 19.7160202955 19.4525106205 20.7320779511 21.0186576986 20.8922729986 21.0664739515 20.7728538466 1.88 11.0233624932 0.00369004680136 8.43672152093 0.118123118691
000348.46-004355.3 0.898 0.95195408 -0.7320935 true 0.3 0.743 0.7 0.709 24.2472655832 23.431122447 22.5232845227 21.9658428404 21.951513379 20.1331071155 19.9979771251 20.1454355782 19.9383595759 19.9905892729 1.04 10.4592231976 0.124318757233 8.50378972346 0.129750616036
000350.75-010359.5 0.916 0.96148334 -1.0665173 false 0.438 0.875 0.411 0.918 23.2686228207 22.0769845746 21.7851599779 20.9925549456 20.6059643536 19.8339404745 19.7596976397 19.8088419576 19.7875912495 19.7233722984 1.28 10.7574061866 1.34968815872 8.59188184845 0.130400445249
000355.23+001216.4 0.989 0.98015699 0.204601 true 7.0 4.458 2.0 1.782 23.3779251378 25.2955405838 23.3664747932 23.4459490572 22.48299044 20.3671400341 20.0300424656 19.989525297 19.8580479163 19.7331579481 1.08 10.0937128313 8.8258283073 7.66575267187 0.410312921699
000356.56-010131.6 0.911 0.98568663 -1.0254479 false 1.095 0.663 1.081 0.737 24.4492003991 25.761833139 22.4585682599 21.4211922266 21.6562982265 19.6463978338 19.4854277622 19.6152071268 19.56984021 19.3950022764 1.02 11.4841178532 12.9197057089 8.29504867681 0.201495113099
000358.31+013527.0 0.665 0.99297935 1.5908513 false 1.406 0.74 1.393 0.763 22.1822544949 21.263195306 19.9529874834 19.6904294679 19.4811298098 19.4233418432 19.3491857543 19.4567445386 19.4210335264 19.5863066472 1.47 11.2240217219 0.196907328236 8.19826118982 0.182650573748
000359.24-003032.6 0.996 0.99684911 -0.50906807 false 1.595 0.471 1.737 0.507 23.8139702914 23.0761555915 22.5136753231 22.0141851178 21.8076528742 21.0971967785 20.9088856972 21.0450655221 21.0274039095 20.7790568848 1.29 10.1477257465 0.0320915171352 8.38403305801 0.122451394755
