# id in_final_catalog selection_bit
012012.13+002703.2 n non_uniform
012016.25-002442.1 n non_uniform
012019.57+004240.5 n non_uniform
012029.52+003341.6 y boss_core
012030.55+001422.5 y boss_core
012047.52+001520.1 y boss_core
012050.94-001832.9 y dr7_core
012052.93-000408.3 y boss_core
012057.86+005857.1 y boss_core
012059.12+003024.2 y boss_core
012100.73-001519.1 n non_uniform
012103.57+003225.4 n boss_core
012108.90-004307.3 n non_uniform
012111.81-002521.4 y boss_core
012112.91+001212.2 y boss_core
012120.27-004821.1 y boss_core
012123.09+003112.8 y boss_core
012126.36-005857.0 n non_uniform
012136.83-001810.8 y dr7_core
012139.16-000024.0 n non_uniform
012155.09-001337.4 y boss_core
012156.07+000327.8 y boss_core
012204.83+001512.5 y boss_core
012209.66-000254.4 n boss_core
012211.34-002031.0 n boss_core
012218.23-010106.1 n non_uniform
012222.90-003554.3 n boss_core
012225.89+001702.7 y boss_core
012238.81-003933.8 y boss_core
012239.09+000529.9 n dr7_core
012242.60-004448.8 n non_uniform
012309.74-003610.3 y boss_core
012311.75-001205.2 y boss_core
012317.16-004022.1 n boss_core
012318.89-001728.2 n non_uniform
012334.10-002308.9 n non_uniform
012344.00-003554.7 y boss_core
012353.46+000938.8 n boss_core
012354.18-003449.4 n non_uniform
012401.83-004447.4 n boss_core
012409.39-004958.1 y boss_core
012420.20-004100.5 n non_uniform
012438.76+000854.4 n boss_core
012440.84+000127.6 y boss_core
012449.45-000529.4 n boss_core
012512.82+000855.0 y boss_core
012515.30-010511.3 n boss_core
012525.10-000056.2 n boss_core
012538.94-003720.1 n non_uniform
012541.35+001254.6 y boss_core
012546.22-001141.9 y boss_core
012550.91-010452.5 y boss_core
012557.43-000454.4 n boss_core
012558.82-004259.5 y boss_core
012600.42-002145.4 y boss_core
012608.41+002555.2 n non_uniform
012626.72+000350.9 y boss_core
012631.05-010359.9 n non_uniform
012643.15-003953.2 y boss_core
012658.18+010901.4 n non_uniform
012658.80+000247.4 n non_uniform
012658.92-004830.4 n boss_core
012701.58+004329.9 n non_uniform
012708.91+005401.8 n boss_core
012715.33-010429.1 n boss_core
012715.35+004737.2 y boss_core
012716.17-003557.6 n boss_core
012720.28+004217.4 n non_uniform
012723.80+002117.0 y boss_core
012725.86-005325.8 n boss_core
012733.81-004018.8 y boss_core
012738.52-003227.6 n boss_core
012748.98+005039.8 y boss_core
012752.07-004213.1 n non_uniform
012756.17+002118.7 n boss_core
012808.06+004136.7 n non_uniform
012809.63-004854.9 n dr7_core
012818.59+004552.7 y boss_core
012820.93-003933.9 y boss_core
012824.20+001925.1 n non_uniform
012826.82-003105.3 n boss_core
012827.02+000320.3 n non_uniform
012839.70-001122.5 y boss_core
012841.07-002608.5 y boss_core
012843.05-003205.8 y boss_core
012844.47+010522.9 n boss_core
012849.31-001617.3 n dr7_core
012852.61-003901.4 y boss_core
012858.88+002435.5 n boss_core
012901.16-004155.6 n boss_core
012901.39+002312.9 n non_uniform
012911.06-001418.2 n boss_core
012911.78+004000.2 y boss_core
012916.66+000947.4 n non_uniform
012927.15+000934.7 y boss_core
012937.41+003918.8 y boss_core
012943.50+005251.2 n non_uniform
012957.71+011401.6 y boss_core
012958.02+011107.7 n non_uniform
013013.72+003713.7 n boss_core
013015.10+002557.2 y dr7_core
013016.42+005500.5 y boss_core
013025.24+004554.1 n non_uniform
013027.61+001114.2 n non_uniform
013047.86+003050.4 y boss_core
013049.68+010244.1 y dr7_core
013120.34+003658.7 y boss_core
013128.25+003227.6 n non_uniform
013136.25+003900.5 n non_uniform
013136.50+010248.6 y boss_core
015215.95-023446.2 n non_uniform
015230.17-022644.8 n boss_core
015242.32-022052.2 n non_uniform
015328.28-045520.0 y boss_core
015331.86-032038.3 n boss_core
015340.99-030601.3 n boss_core
015344.97-025106.2 y boss_core
015350.58-043749.5 y boss_core
015413.35-052539.3 n non_uniform
015418.91-020659.4 y boss_core
015432.39-024906.8 y boss_core
015434.86-020226.8 n boss_core
015434.92-035421.0 y boss_core
015436.37-022006.3 y boss_core
015438.55-012528.6 n boss_core
015456.72-025151.0 y boss_core
015456.89-060817.8 y boss_core
015511.55-022052.6 y boss_core
015514.95-042930.9 n boss_core
015522.72-025502.2 y boss_core
015529.24-021620.2 y boss_core
015533.58-022014.0 y boss_core
015535.35-031943.1 y boss_core
015535.92-043414.2 n boss_core
015538.73-044240.2 n boss_core
015541.66-032209.1 y boss_core
015544.13-033018.2 y boss_core
015547.75-022909.3 n boss_core
015552.04-051414.1 n boss_core
015553.36-014816.1 y boss_core
015556.52-005008.0 n non_uniform
015559.20-032423.4 n boss_core
015559.98-024451.6 n boss_core
015610.90-022244.1 n boss_core
015620.04-041630.7 y boss_core
015622.11-062520.5 n boss_core
015622.50-025650.2 n boss_core
015622.77-032925.1 y boss_core
015623.99-005328.2 n boss_core
015628.43-031446.3 y boss_core
015631.44-004722.6 n boss_core
