#bestObjID ra dec z petroR90_i
1237666338653733142 20.285919 -0.45998971 0.0912942 3.6049318
1237663784206336143 20.426475 0.14293902 0.13175927 4.095826
1237654601025519895 147.73951 3.6124321 0.16320151 6.61556
1237654601025388696 147.42323 3.6432769 0.12096671 5.3896427
1237654604783026334 146.69915 3.3210138 0.119023964 4.69373
1237666339190735074 20.598009 -0.080517128 0.09585193 5.1175942
1237654602098802842 146.60707 4.4460266 0.18637143 4.9492493
1237654602098802806 146.5525 4.4742864 0.16640756 6.7960033
1237650372097015888 190.2651 -1.2860251 0.06490158 6.900475
1237651799623270512 149.43835 -1.0835669 0.0848731 5.792197
1237651752926118019 156.06891 1.4433373 0.09970181 6.603281
1237671764786020514 190.76251 -1.2827241 0.023776827 22.358448
1237671267106357528 190.55668 -2.0739879 0.083894625 4.820225
1237651800160141388 149.44566 -0.6958272 0.0937748 4.3054004
1237648721217650936 150.14725 -0.049772248 0.0914688 4.078098
1237648721217519812 149.80119 -0.1401662 0.124711946 6.137434
1237671266569552098 191.00672 -2.0253554 0.11729018 9.029471
1237671764248821925 191.01047 -2.0040574 0.11114967 5.073386
1237651753463709881 157.80226 1.8081946 0.08880128 8.077702
1237653665259192561 150.77014 2.4192067 0.17789164 4.4814377
1237648720143450249 149.10248 -0.9370189 0.09104228 5.046633
1237651800697012233 149.45645 -0.21093188 0.03294319 5.796715
1237655123929071707 169.71874 3.6002084 0.1524622 4.6652026
1237655123929006153 169.68583 3.7020559 0.04001185 8.207902
1237655124466073729 170.12183 4.1283759 0.049655177 21.514568
1237648720143384799 148.99469 -1.0355868 0.108203806 9.648445
1237654668661358842 148.94821 -1.2134946 0.105863854 5.7551885
1237651752926380133 156.65581 1.4576904 0.14797598 4.419721
1237654670272168092 149.26413 0.019038894 0.12488142 5.721769
1237654599953285317 151.17474 2.9744875 0.10367508 11.460674
1237663782597165205 23.775613 -1.2250898 0.12685055 7.233945
1237651735746576638 156.31352 1.6418866 0.09241132 10.675507
1237673708260163769 142.58739 3.055801 0.22340296 7.0268025
1237650371561980043 194.38006 -1.6405271 0.088525824 7.1986756
